rowID,file,Study_Name,Site_Name,PH,PH_Collection_Method,PH_mean,Organic_Carbon__percent,OC_mean,C.N_ratio,CN_mean,Sand__percent,Silt__percent,Clay__percent,sand_silt_clay_mean,ph_new,PHIHOX,CLYPPT,SLTPPT,SNDPPT,CECSOL,ORCDRC,phFinal,ClayFinal,SandFinal,SiltFinal,OCFinal,ESA,bio10_1,bio10_4,bio10_7,bio10_12,bio10_15,elevation,SnowMonths,SnowMonths_cat,Aridity,PETyr,PET_SD,SpeciesRichness,SpeciesRichnessUnit,Site_WetBiomass,Site_WetBiomassUnits,Site_Biomassm2,logBiomass,Site_Abundance,Site_AbundanceUnits,Sites_Abundancem2,logAbundance
3628,000_MarichalColombia,marichalcolombia,CSP21302,NA,NA,NA,NA,NA,NA,NA,10.4,46.6,43.1,no,NA,5.350166113,35.15614618,27.17275748,38.17275748,11.85049834,2.082059801,5.350166113,43.1,10.4,46.6,2.082059801,Herbaceous,24.9,584,7.3,3646,36,244,0,0,20696,1650,9.903702736,2,Number of species,NA,NA,NA,NA,6,Number of individuals,32,3.496507561
3629,000_MarichalColombia,marichalcolombia,CSP21303,NA,NA,NA,NA,NA,NA,NA,3.6,58,38.4,no,NA,5.283388704,34.98671096,26.50498339,38.84053156,10.84717608,2.01461794,5.283388704,38.4,3.6,58,2.01461794,Production - Herbaceous,24.9,584,7.3,3603,36,244,0,0,20624,1650,9.903702736,3,Number of species,NA,NA,NA,NA,17,Number of individuals,90.66666667,4.518158809
3630,000_MarichalColombia,marichalcolombia,CSP21304,NA,NA,NA,NA,NA,NA,NA,4.1,51.5,44.5,no,NA,5.3,34.65448505,25.50498339,39.84053156,10.85049834,2.080398671,5.3,44.5,4.1,51.5,2.080398671,Herbaceous,24.8,580,7.3,3682,36,247,0,0,20526,1652,9.919116974,1,Number of species,NA,NA,NA,NA,2,Number of individuals,10.66666667,2.456735773
3631,000_MarichalColombia,marichalcolombia,CSP21305,NA,NA,NA,NA,NA,NA,NA,6.3,46.6,47.2,no,NA,5.3,34.65448505,25.50498339,39.84053156,10.85049834,2.080398671,5.3,47.2,6.3,46.6,2.080398671,Herbaceous,24.8,580,7.3,3682,36,247,0,0,20526,1652,9.919116974,2,Number of species,NA,NA,NA,NA,17,Number of individuals,90.66666667,4.518158809
3632,000_MarichalColombia,marichalcolombia,CSP21401,NA,NA,NA,NA,NA,NA,NA,10.4,43.2,46.4,no,NA,5.350166113,34.15614618,26.00332226,40.6744186,11.01328904,2.228239203,5.350166113,46.4,10.4,43.2,2.228239203,Production - Herbaceous,24.8,580,7.3,3803,36,250,0,0,20406,1648,10.19258976,5,Number of species,NA,NA,NA,NA,43,Number of individuals,229.3333333,5.439527535
3633,000_MarichalColombia,marichalcolombia,CSP21402,NA,NA,NA,NA,NA,NA,NA,7.3,45.4,47.3,no,NA,5.350166113,32.3255814,27.33554817,40.34219269,10.84717608,2.163122924,5.350166113,47.3,7.3,45.4,2.163122924,Production - Herbaceous,24.8,581,7.3,3731,36,247,0,0,20466,1651,9.978796959,1,Number of species,NA,NA,NA,NA,3,Number of individuals,16,2.833213344
3634,000_MarichalColombia,marichalcolombia,CSP21403,NA,NA,NA,NA,NA,NA,NA,8.6,44.2,47.3,no,NA,5.350166113,32.3255814,27.33554817,40.34219269,10.84717608,2.163122924,5.350166113,47.3,8.6,44.2,2.163122924,Herbaceous,24.8,581,7.3,3731,36,247,0,0,20466,1651,9.978796959,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3635,000_MarichalColombia,marichalcolombia,CSP21404,NA,NA,NA,NA,NA,NA,NA,7.8,40.1,52,no,NA,5.350166113,32.3255814,27.33554817,40.34219269,10.84717608,2.163122924,5.350166113,52,7.8,40.1,2.163122924,Herbaceous,24.8,581,7.3,3731,36,247,0,0,20466,1651,9.978796959,3,Number of species,NA,NA,NA,NA,17,Number of individuals,90.66666667,4.518158809
3636,000_MarichalColombia,marichalcolombia,CSP21405,NA,NA,NA,NA,NA,NA,NA,3.8,51.6,44.6,no,NA,5.300332226,33.65448505,27.00332226,40.34219269,11.34551495,2.28372093,5.300332226,44.6,3.8,51.6,2.28372093,Herbaceous,24.8,580,7.3,3682,36,247,0,0,20526,1652,9.919116974,1,Number of species,NA,NA,NA,NA,10,Number of individuals,53.33333333,3.995137912
3637,000_MarichalColombia,marichalcolombia,CSP21501,NA,NA,NA,NA,NA,NA,NA,6.3,52.8,40.8,no,NA,5.400332226,32.3255814,28.50166113,39.17607973,10.85049834,2.232225914,5.400332226,40.8,6.3,52.8,2.232225914,Herbaceous,24.9,583,7.3,3701,37,242,0,0,20460,1649,9.911763191,3,Number of species,NA,NA,NA,NA,64,Number of individuals,341.3333333,5.835784921
3638,000_MarichalColombia,marichalcolombia,CSP21502,NA,NA,NA,NA,NA,NA,NA,1.3,49.7,49,no,NA,5.400332226,32.3255814,28.50166113,39.17607973,10.85049834,2.232225914,5.400332226,49,1.3,49.7,2.232225914,Herbaceous,24.9,583,7.3,3701,37,242,0,0,20460,1649,9.911763191,3,Number of species,NA,NA,NA,NA,76,Number of individuals,405.3333333,6.007173841
3639,000_MarichalColombia,marichalcolombia,CSP21503,NA,NA,NA,NA,NA,NA,NA,17.2,35.4,47.4,no,NA,5.400332226,32.3255814,28.50166113,39.17607973,10.85049834,2.232225914,5.400332226,47.4,17.2,35.4,2.232225914,Herbaceous,24.9,586,7.3,3600,38,236,0,0,20460,1649,9.911763191,1,Number of species,NA,NA,NA,NA,1,Number of individuals,5.333333333,1.84582669
3640,000_MarichalColombia,marichalcolombia,CSP21504,NA,NA,NA,NA,NA,NA,NA,5,41.7,53.4,no,NA,5.400332226,32.3255814,28.50166113,39.17607973,10.85049834,2.232225914,5.400332226,53.4,5,41.7,2.232225914,Herbaceous,24.9,583,7.3,3701,37,242,0,0,20460,1649,9.911763191,2,Number of species,NA,NA,NA,NA,25,Number of individuals,133.3333333,4.900324273
3641,000_MarichalColombia,marichalcolombia,CSP21505,NA,NA,NA,NA,NA,NA,NA,4.8,42.2,53,no,NA,5.400332226,32.65780731,27.00332226,40.34219269,10.51495017,2.849501661,5.400332226,53,4.8,42.2,2.849501661,Herbaceous,24.9,586,7.3,3600,38,236,0,0,20436,1649,10.32358456,1,Number of species,NA,NA,NA,NA,5,Number of individuals,26.66666667,3.320228319
3642,000_MarichalColombia,marichalcolombia,CSP31601,NA,NA,NA,NA,NA,NA,NA,11.9,41.4,46.7,no,NA,5.400332226,33.15614618,26.16943522,41.17275748,10.68770764,3.549833887,5.400332226,46.7,11.9,41.4,3.549833887,Herbaceous,25,571,7.5,3270,35,257,0,0,21834,1668,10.09125042,2,Number of species,NA,NA,NA,NA,24,Number of individuals,128,4.859812404
3643,000_MarichalColombia,marichalcolombia,CSP31602,NA,NA,NA,NA,NA,NA,NA,14.6,36.3,49.2,no,NA,5.400332226,33.98671096,26.67109635,39.6744186,10.85714286,3.46910299,5.400332226,49.2,14.6,36.3,3.46910299,Herbaceous,24.9,572,7.5,3296,35,262,0,0,21791,1669,10.0950346,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3644,000_MarichalColombia,marichalcolombia,CSP31603,NA,NA,NA,NA,NA,NA,NA,18.6,38.2,43.3,no,NA,5.400332226,33.15614618,25.67109635,41.17275748,10.35548173,3.467774086,5.400332226,43.3,18.6,38.2,3.467774086,Herbaceous,24.9,573,7.5,3268,35,259,0,0,21858,1668,10.09125042,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3645,000_MarichalColombia,marichalcolombia,CSP31604,NA,NA,NA,NA,NA,NA,NA,5.3,60.5,34.2,no,NA,5.400332226,33.98671096,26.67109635,39.6744186,10.85714286,3.46910299,5.400332226,34.2,5.3,60.5,3.46910299,Herbaceous,24.9,572,7.5,3296,35,262,0,0,21791,1669,10.0950346,2,Number of species,NA,NA,NA,NA,8,Number of individuals,42.66666667,3.776585035
3646,000_MarichalColombia,marichalcolombia,CSP31605,NA,NA,NA,NA,NA,NA,NA,13.6,38,48.5,no,NA,5.400332226,33.15614618,25.67109635,41.17275748,10.35548173,3.467774086,5.400332226,48.5,13.6,38,3.467774086,Herbaceous,24.9,572,7.5,3296,35,262,0,0,21791,1669,10.0950346,1,Number of species,NA,NA,NA,NA,102,Number of individuals,544,6.300785795
3647,000_MarichalColombia,marichalcolombia,CSP31701,NA,NA,NA,NA,NA,NA,NA,5.2,55.5,39.3,no,NA,5.366777409,34.48504983,26.67109635,39.33887043,11.35548173,3.250166113,5.366777409,39.3,5.2,55.5,3.250166113,Production - Herbaceous,24.9,572,7.5,3322,35,260,0,0,21732,1668,10.08298874,1,Number of species,NA,NA,NA,NA,1,Number of individuals,5.333333333,1.84582669
3648,000_MarichalColombia,marichalcolombia,CSP31702,NA,NA,NA,NA,NA,NA,NA,10.3,42,47.7,no,NA,5.366777409,34.48504983,26.67109635,39.33887043,11.35548173,3.250166113,5.366777409,47.7,10.3,42,3.250166113,Production - Herbaceous,24.9,572,7.5,3322,35,260,0,0,21732,1668,10.08298874,1,Number of species,NA,NA,NA,NA,10,Number of individuals,53.33333333,3.995137912
3649,000_MarichalColombia,marichalcolombia,CSP31703,NA,NA,NA,NA,NA,NA,NA,11.2,44.1,44.7,no,NA,5.366777409,34.48504983,26.67109635,39.33887043,11.35548173,3.250166113,5.366777409,44.7,11.2,44.1,3.250166113,Herbaceous,24.9,572,7.5,3322,35,260,0,0,21732,1668,10.08298874,2,Number of species,NA,NA,NA,NA,33,Number of individuals,176,5.176149733
3650,000_MarichalColombia,marichalcolombia,CSP31704,NA,NA,NA,NA,NA,NA,NA,2.1,52.7,45.2,no,NA,5.366777409,34.48504983,26.67109635,39.33887043,11.35548173,3.250166113,5.366777409,45.2,2.1,52.7,3.250166113,Herbaceous,24.9,572,7.5,3322,35,260,0,0,21732,1668,10.08298874,1,Number of species,NA,NA,NA,NA,77,Number of individuals,410.6666667,6.02021396
3651,000_MarichalColombia,marichalcolombia,CSP31705,NA,NA,NA,NA,NA,NA,NA,3.9,55.6,40.5,no,NA,5.400332226,33.98671096,26.67109635,39.84053156,11.35548173,3.468106312,5.400332226,40.5,3.9,55.6,3.468106312,Herbaceous,24.9,571,7.5,3315,35,265,0,0,21748,1670,10.15573215,1,Number of species,NA,NA,NA,NA,3,Number of individuals,16,2.833213344
3652,000_MarichalColombia,marichalcolombia,CSP31801,NA,NA,NA,NA,NA,NA,NA,7.9,46.6,45.6,no,NA,5.350166113,33.48837209,26.00664452,40.8372093,11.01328904,2.764119601,5.350166113,45.6,7.9,46.6,2.764119601,Herbaceous,25,577,7.4,3201,36,246,0,0,21797,1669,10.20994854,1,Number of species,NA,NA,NA,NA,8,Number of individuals,42.66666667,3.776585035
3653,000_MarichalColombia,marichalcolombia,CSP31802,NA,NA,NA,NA,NA,NA,NA,1.9,58.5,39.6,no,NA,5.350166113,33.48837209,26.00664452,40.8372093,11.01328904,2.764119601,5.350166113,39.6,1.9,58.5,2.764119601,Herbaceous,25,577,7.4,3201,36,246,0,0,21797,1669,10.20994854,3,Number of species,NA,NA,NA,NA,42,Number of individuals,224,5.416100402
3654,000_MarichalColombia,marichalcolombia,CSP31803,NA,NA,NA,NA,NA,NA,NA,6.9,45.1,48,no,NA,5.350166113,33.48837209,26.00664452,40.8372093,11.01328904,2.764119601,5.350166113,48,6.9,45.1,2.764119601,Herbaceous,25,573,7.4,3194,35,246,0,0,21797,1669,10.20994854,2,Number of species,NA,NA,NA,NA,88,Number of individuals,469.3333333,6.153441663
3655,000_MarichalColombia,marichalcolombia,CSP31804,NA,NA,NA,NA,NA,NA,NA,7.9,39,53.2,no,NA,5.350166113,33.48837209,26.00664452,40.8372093,11.01328904,2.764119601,5.350166113,53.2,7.9,39,2.764119601,Herbaceous,25,573,7.4,3194,35,246,0,0,21797,1669,10.20994854,2,Number of species,NA,NA,NA,NA,44,Number of individuals,234.6666667,5.462418377
3656,000_MarichalColombia,marichalcolombia,CSP31805,NA,NA,NA,NA,NA,NA,NA,5.4,50.4,44.3,no,NA,5.350166113,33.48837209,26.00664452,40.8372093,11.01328904,2.764119601,5.350166113,44.3,5.4,50.4,2.764119601,Herbaceous,25,573,7.4,3194,35,246,0,0,21797,1669,10.20994854,2,Number of species,NA,NA,NA,NA,59,Number of individuals,314.6666667,5.754686805
3657,000_MarichalColombia,marichalcolombia,CTR10101,NA,NA,NA,NA,NA,NA,NA,29.6,45.7,24.7,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,24.7,29.6,45.7,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,3,Number of species,NA,NA,NA,NA,17,Number of individuals,90.66666667,4.518158809
3658,000_MarichalColombia,marichalcolombia,CTR10102,NA,NA,NA,NA,NA,NA,NA,31,26.6,42.4,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,42.4,31,26.6,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,1,Number of species,NA,NA,NA,NA,3,Number of individuals,16,2.833213344
3659,000_MarichalColombia,marichalcolombia,CTR10103,NA,NA,NA,NA,NA,NA,NA,9.5,46.9,43.7,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,43.7,9.5,46.9,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3660,000_MarichalColombia,marichalcolombia,CTR10104,NA,NA,NA,NA,NA,NA,NA,8,50.8,41.2,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,41.2,8,50.8,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,3,Number of species,NA,NA,NA,NA,42,Number of individuals,224,5.416100402
3661,000_MarichalColombia,marichalcolombia,CTR10105,NA,NA,NA,NA,NA,NA,NA,14.6,32.9,52.5,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,52.5,14.6,32.9,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,3,Number of species,NA,NA,NA,NA,14,Number of individuals,74.66666667,4.326337729
3662,000_MarichalColombia,marichalcolombia,CTR10201,NA,NA,NA,NA,NA,NA,NA,18.8,40.3,40.9,no,NA,5.350166113,36.65448505,28.67109635,34.6744186,12.35215947,3.242857143,5.350166113,40.9,18.8,40.3,3.242857143,Herbaceous,24.8,555,7.6,3589,29,275,0,0,22610,1609,9.214647293,2,Number of species,NA,NA,NA,NA,5,Number of individuals,26.66666667,3.320228319
3663,000_MarichalColombia,marichalcolombia,CTR10202,NA,NA,NA,NA,NA,NA,NA,7.8,50.4,41.8,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,41.8,7.8,50.4,3.275747508,Herbaceous,24.8,555,7.6,3589,29,275,0,0,22610,1609,9.214647293,2,Number of species,NA,NA,NA,NA,62,Number of individuals,330.6666667,5.804130448
3664,000_MarichalColombia,marichalcolombia,CTR10203,NA,NA,NA,NA,NA,NA,NA,8.3,44.3,47.4,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,47.4,8.3,44.3,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,2,Number of species,NA,NA,NA,NA,11,Number of individuals,58.66666667,4.088773517
3665,000_MarichalColombia,marichalcolombia,CTR10204,NA,NA,NA,NA,NA,NA,NA,5.1,51,43.9,no,NA,5.350166113,36.65448505,28.67109635,34.6744186,12.35215947,3.242857143,5.350166113,43.9,5.1,51,3.242857143,Herbaceous,24.8,555,7.6,3589,29,275,0,0,22610,1609,9.214647293,1,Number of species,NA,NA,NA,NA,73,Number of individuals,389.3333333,5.967001075
3666,000_MarichalColombia,marichalcolombia,CTR10205,NA,NA,NA,NA,NA,NA,NA,4.6,49.3,46.1,no,NA,5.350166113,36.65448505,28.67109635,34.6744186,12.35215947,3.242857143,5.350166113,46.1,4.6,49.3,3.242857143,Herbaceous,24.8,555,7.6,3589,29,275,0,0,22610,1609,9.214647293,3,Number of species,NA,NA,NA,NA,9,Number of individuals,48,3.891820298
3667,000_MarichalColombia,marichalcolombia,CTR10301,NA,NA,NA,NA,NA,NA,NA,5.8,50.6,43.6,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,43.6,5.8,50.6,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,3,Number of species,NA,NA,NA,NA,37,Number of individuals,197.3333333,5.289949117
3668,000_MarichalColombia,marichalcolombia,CTR10302,NA,NA,NA,NA,NA,NA,NA,5.2,50.3,44.5,no,NA,5.4,35.15614618,27.00664452,37.84053156,10.34883721,3.046511628,5.4,44.5,5.2,50.3,3.046511628,Herbaceous,24.8,555,7.6,3498,29,268,0,0,22545,1611,9.283721924,2,Number of species,NA,NA,NA,NA,26,Number of individuals,138.6666667,4.939258631
3669,000_MarichalColombia,marichalcolombia,CTR10303,NA,NA,NA,NA,NA,NA,NA,9.8,40.4,49.8,no,NA,5.4,35.15614618,27.00664452,37.84053156,10.34883721,3.046511628,5.4,49.8,9.8,40.4,3.046511628,Herbaceous,24.8,555,7.6,3498,29,268,0,0,22442,1613,9.295682907,2,Number of species,NA,NA,NA,NA,48,Number of individuals,256,5.549076085
3670,000_MarichalColombia,marichalcolombia,CTR10304,NA,NA,NA,NA,NA,NA,NA,14.7,36.7,48.7,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,48.7,14.7,36.7,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,3,Number of species,NA,NA,NA,NA,48,Number of individuals,256,5.549076085
3671,000_MarichalColombia,marichalcolombia,CTR10305,NA,NA,NA,NA,NA,NA,NA,12.6,33.2,54.3,no,NA,5.4,36.65448505,28.17275748,35.84053156,11.01993355,3.275747508,5.4,54.3,12.6,33.2,3.275747508,Herbaceous,24.8,556,7.6,3559,29,273,0,0,22545,1611,9.283721924,3,Number of species,NA,NA,NA,NA,19,Number of individuals,101.3333333,4.628235459
3672,000_MarichalColombia,marichalcolombia,CTR20401,NA,NA,NA,NA,NA,NA,NA,4.9,45.7,49.5,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,49.5,4.9,45.7,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,1,Number of species,NA,NA,NA,NA,38,Number of individuals,202.6666667,5.316484671
3673,000_MarichalColombia,marichalcolombia,CTR20402,NA,NA,NA,NA,NA,NA,NA,26.8,22.7,50.5,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,50.5,26.8,22.7,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,2,Number of species,NA,NA,NA,NA,27,Number of individuals,144,4.976733742
3674,000_MarichalColombia,marichalcolombia,CTR20403,NA,NA,NA,NA,NA,NA,NA,21.4,29,49.6,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,49.6,21.4,29,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3675,000_MarichalColombia,marichalcolombia,CTR20404,NA,NA,NA,NA,NA,NA,NA,22.7,26.4,50.9,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,50.9,22.7,26.4,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3676,000_MarichalColombia,marichalcolombia,CTR20405,NA,NA,NA,NA,NA,NA,NA,44.5,17.7,37.9,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,37.9,44.5,17.7,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3677,000_MarichalColombia,marichalcolombia,CTR20501,NA,NA,NA,NA,NA,NA,NA,34.7,19.5,45.8,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,45.8,34.7,19.5,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,1,Number of species,NA,NA,NA,NA,15,Number of individuals,80,4.394449155
3678,000_MarichalColombia,marichalcolombia,CTR20502,NA,NA,NA,NA,NA,NA,NA,41.2,19.2,39.6,no,NA,5.3,36.15282392,27.6744186,37.16943522,12.17940199,3.256810631,5.3,39.6,41.2,19.2,3.256810631,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,2,Number of species,NA,NA,NA,NA,3,Number of individuals,16,2.833213344
3679,000_MarichalColombia,marichalcolombia,CTR20503,NA,NA,NA,NA,NA,NA,NA,32.2,25.9,41.9,no,NA,5.383388704,36.15614618,27.17607973,36.8372093,11.0166113,3.508305648,5.383388704,41.9,32.2,25.9,3.508305648,Herbaceous,24.8,557,7.6,3596,29,269,0,0,22439,1611,9.337424278,2,Number of species,NA,NA,NA,NA,33,Number of individuals,176,5.176149733
3680,000_MarichalColombia,marichalcolombia,CTR20504,NA,NA,NA,NA,NA,NA,NA,40.1,28,31.9,no,NA,5.383388704,36.15614618,27.17607973,36.8372093,11.0166113,3.508305648,5.383388704,31.9,40.1,28,3.508305648,Herbaceous,24.8,557,7.6,3559,29,268,0,0,22394,1612,9.240611076,2,Number of species,NA,NA,NA,NA,45,Number of individuals,240,5.484796933
3681,000_MarichalColombia,marichalcolombia,CTR20505,NA,NA,NA,NA,NA,NA,NA,43.9,29.5,26.7,no,NA,5.383388704,36.15614618,27.17607973,36.8372093,11.0166113,3.508305648,5.383388704,26.7,43.9,29.5,3.508305648,Herbaceous,24.8,557,7.6,3559,29,268,0,0,22394,1612,9.240611076,1,Number of species,NA,NA,NA,NA,25,Number of individuals,133.3333333,4.900324273
3682,000_MarichalColombia,marichalcolombia,CTR20601,NA,NA,NA,NA,NA,NA,NA,33.9,22.7,43.4,no,NA,5.266777409,34.65780731,28.67109635,36.8372093,11.18272425,2.644186047,5.266777409,43.4,33.9,22.7,2.644186047,Herbaceous,24.8,556,7.6,3594,29,270,0,0,22470,1611,9.337424278,1,Number of species,NA,NA,NA,NA,107,Number of individuals,570.6666667,6.348556071
3683,000_MarichalColombia,marichalcolombia,CTR20602,NA,NA,NA,NA,NA,NA,NA,39.4,26.8,33.8,no,NA,5.266777409,34.65780731,28.67109635,36.8372093,11.18272425,2.644186047,5.266777409,33.8,39.4,26.8,2.644186047,Herbaceous,24.8,556,7.6,3594,29,270,0,0,22470,1611,9.337424278,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3684,000_MarichalColombia,marichalcolombia,CTR20603,NA,NA,NA,NA,NA,NA,NA,32.9,29.4,37.7,no,NA,5.266777409,34.65780731,28.67109635,36.8372093,11.18272425,2.644186047,5.266777409,37.7,32.9,29.4,2.644186047,Herbaceous,24.8,556,7.6,3594,29,270,0,0,22470,1611,9.337424278,2,Number of species,NA,NA,NA,NA,6,Number of individuals,32,3.496507561
3685,000_MarichalColombia,marichalcolombia,CTR20604,NA,NA,NA,NA,NA,NA,NA,31.1,35.4,33.5,no,NA,5.266777409,34.65780731,28.67109635,36.8372093,11.18272425,2.644186047,5.266777409,33.5,31.1,35.4,2.644186047,Herbaceous,24.8,556,7.6,3594,29,270,0,0,22470,1611,9.337424278,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3686,000_MarichalColombia,marichalcolombia,CTR20605,NA,NA,NA,NA,NA,NA,NA,36.4,23.9,39.6,no,NA,5.266777409,34.65780731,28.67109635,36.8372093,11.18272425,2.644186047,5.266777409,39.6,36.4,23.9,2.644186047,Herbaceous,24.8,556,7.6,3594,29,270,0,0,22470,1611,9.337424278,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
3687,000_MarichalColombia,marichalcolombia,CTR30701,NA,NA,NA,NA,NA,NA,NA,8.6,53.3,38.1,no,NA,5.367109635,35.82059801,27.00332226,37.34219269,10.0166113,2.512624585,5.367109635,38.1,8.6,53.3,2.512624585,Herbaceous,25,565,7.5,3259,33,241,0,0,21457,1647,9.39081955,1,Number of species,NA,NA,NA,NA,2,Number of individuals,10.66666667,2.456735773
3688,000_MarichalColombia,marichalcolombia,CTR30702,NA,NA,NA,NA,NA,NA,NA,38.7,33.2,28.1,no,NA,5.350166113,35.15614618,26.50498339,39.17275748,10.01328904,3.493687708,5.350166113,28.1,38.7,33.2,3.493687708,Herbaceous,25,566,7.5,3327,33,240,0,0,21425,1649,9.446854591,2,Number of species,NA,NA,NA,NA,4,Number of individuals,21.33333333,3.106080331
3689,000_MarichalColombia,marichalcolombia,CTR30703,NA,NA,NA,NA,NA,NA,NA,15.1,43.7,41.2,no,NA,5.367109635,35.82059801,27.00332226,37.34219269,10.0166113,2.512624585,5.367109635,41.2,15.1,43.7,2.512624585,Herbaceous,25,565,7.5,3259,33,241,0,0,21457,1647,9.39081955,3,Number of species,NA,NA,NA,NA,77,Number of individuals,410.6666667,6.02021396
3690,000_MarichalColombia,marichalcolombia,CTR30704,NA,NA,NA,NA,NA,NA,NA,14,43.6,42.4,no,NA,5.350166113,34.65780731,26.50166113,39.17275748,9.843853821,2.710631229,5.350166113,42.4,14,43.6,2.710631229,Herbaceous,25,566,7.5,3311,33,246,0,0,21493,1647,9.713606834,2,Number of species,NA,NA,NA,NA,46,Number of individuals,245.3333333,5.506685632
3691,000_MarichalColombia,marichalcolombia,CTR30705,NA,NA,NA,NA,NA,NA,NA,14.9,37.9,47.3,no,NA,5.350166113,35.15614618,26.50498339,39.17275748,10.01328904,3.493687708,5.350166113,47.3,14.9,37.9,3.493687708,Herbaceous,24.9,565,7.5,3397,33,259,0,0,21531,1645,9.801856041,1,Number of species,NA,NA,NA,NA,1,Number of individuals,5.333333333,1.84582669
3692,000_MarichalColombia,marichalcolombia,CTR30801,NA,NA,NA,NA,NA,NA,NA,22.5,41,36.6,no,NA,5.4,34.15614618,25.66777409,40.84053156,11.01328904,3.777408638,5.4,36.6,22.5,41,3.777408638,Herbaceous,24.9,565,7.5,3467,33,258,0,0,21545,1644,9.865765572,2,Number of species,NA,NA,NA,NA,9,Number of individuals,48,3.891820298
3693,000_MarichalColombia,marichalcolombia,CTR30802,NA,NA,NA,NA,NA,NA,NA,13.8,43.4,42.8,no,NA,5.4,34.15614618,25.66777409,40.84053156,11.01328904,3.777408638,5.4,42.8,13.8,43.4,3.777408638,Herbaceous,24.9,565,7.5,3467,33,258,0,0,21545,1644,9.865765572,2,Number of species,NA,NA,NA,NA,83,Number of individuals,442.6666667,6.09507353
3694,000_MarichalColombia,marichalcolombia,CTR30803,NA,NA,NA,NA,NA,NA,NA,5.9,30.8,63.3,no,NA,5.4,34.15614618,25.66777409,40.84053156,11.01328904,3.777408638,5.4,63.3,5.9,30.8,3.777408638,Herbaceous,24.9,565,7.5,3467,33,258,0,0,21545,1644,9.865765572,2,Number of species,NA,NA,NA,NA,39,Number of individuals,208,5.342334252
3695,000_MarichalColombia,marichalcolombia,CTR30804,NA,NA,NA,NA,NA,NA,NA,11.3,42.1,46.6,no,NA,5.4,34.15614618,25.66777409,40.84053156,11.01328904,3.777408638,5.4,46.6,11.3,42.1,3.777408638,Herbaceous,24.9,565,7.5,3467,33,258,0,0,21545,1644,9.865765572,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
